dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
facebook,1,legacy_beam,rounds,4039,747,4039,2727353,26921,26921,26921,26921,26920,39,17,17,173840,173840,3640612,34,0.971963,74.101107,102.542508,1927.610674,0.004128,0.003467
facebook,2,legacy_beam,rounds,4022,703,4022,3683689,27059,27059,27059,27059,25869,7986,703,703,174089,169605,3616864,1408,2.056665,104.839003,132.725803,1879.471730,1.226568,0.093713
facebook,3,legacy_beam,rounds,3319,702,3319,1298877,19927,19927,19927,19927,14187,1233,326,326,173579,111025,2096783,790,2.171545,63.727567,48.032879,1700.814230,0.054580,0.047396
facebook,4,legacy_beam,rounds,2993,623,2993,854864,17507,17507,17507,17507,8330,503,186,186,173623,96032,1704556,463,6.754127,39.984738,38.582139,1594.723253,0.025313,0.023753
facebook,5,legacy_beam,rounds,2807,566,2807,622283,15906,15906,15906,15906,5418,500,145,145,174199,88131,1464207,350,2.135549,40.356344,25.211988,1635.022738,0.030611,0.031246
facebook,6,legacy_beam,rounds,2662,457,2662,715991,17575,17575,17575,17575,4913,375,161,161,174088,84064,1501021,437,4.970433,45.622084,41.851359,1271.785227,0.026596,0.030548
facebook,7,legacy_beam,rounds,2501,568,2501,829794,13630,13630,13630,13630,2740,114,86,86,173212,76912,1322104,259,3.953627,43.274549,43.763190,1418.979946,0.016056,0.022192
facebook,8,legacy_beam,rounds,2415,506,2415,628141,13920,13920,13920,13920,2286,174,80,80,173426,74113,1261908,216,1.048175,37.838715,38.086585,1236.786256,0.020618,0.024154
facebook,9,legacy_beam,rounds,2335,502,2335,659174,13284,13284,13284,13284,1717,101,61,61,173143,70957,1245440,182,5.007823,34.666854,24.457097,1258.288464,0.012722,0.017072
facebook,10,legacy_beam,rounds,2274,520,2274,401524,12288,12288,12288,12288,1281,74,64,64,173108,68934,1079855,191,3.692710,37.433986,26.494814,1274.005413,0.009578,0.011972
facebook,11,legacy_beam,rounds,2210,520,2210,523425,11486,11486,11486,11486,1120,90,59,59,173205,66672,1071361,181,4.722010,42.819139,32.184322,1266.273872,0.007280,0.008425
facebook,12,legacy_beam,rounds,2151,523,2151,345101,10500,10500,10500,10500,736,53,43,43,172865,64394,959323,123,4.076364,41.129348,40.750735,1396.816065,0.009726,0.012934
facebook,13,legacy_beam,rounds,2108,355,2108,407000,13907,13907,13907,13907,912,226,59,59,173840,63836,1038153,196,1.920105,35.435645,36.320686,1045.609032,0.008326,0.008886
facebook,14,legacy_beam,rounds,2049,404,2049,456523,12504,12504,12504,12504,602,53,36,36,173409,61743,1005874,126,4.196266,27.916274,28.158277,1040.414835,0.003876,0.005881
facebook,15,legacy_beam,rounds,2013,428,2013,380857,11554,11554,11554,11554,572,44,32,32,173422,60694,980887,103,0.804197,32.346182,25.733357,1126.660051,0.004328,0.006452
facebook,16,legacy_beam,rounds,1981,465,1981,353567,10008,10008,10008,10008,371,16,15,15,173577,59326,895769,50,3.779481,34.614147,26.611313,1182.208800,0.002126,0.002816
facebook,17,legacy_beam,rounds,1966,403,1966,576158,11087,11087,11087,11087,461,46,30,30,173259,58668,960315,103,0.667887,36.121930,27.079100,1120.499760,0.008425,0.006603
facebook,18,legacy_beam,rounds,1936,416,1936,341411,10764,10764,10764,10764,336,42,27,27,172816,57276,893635,100,2.005824,34.685985,23.546415,1162.720386,0.004540,0.006533
facebook,19,legacy_beam,rounds,1909,462,1909,475533,9403,9403,9403,9403,274,17,16,16,172317,56442,884144,43,0.791634,29.988861,20.239138,1201.073282,0.004388,0.004497
facebook,20,legacy_beam,rounds,1893,428,1893,398180,9783,9783,9783,9783,286,27,21,21,173035,56338,882573,84,2.406550,30.747986,24.967677,1137.651693,0.010075,0.014499
facebook,1,legacy_beam,rounds,4039,747,4039,2727353,26921,26921,26921,26921,26920,39,17,17,173840,173840,3640612,34,1.030452,21.080920,70.411059,6.390842,0.001603,0.002506
facebook,2,legacy_beam,rounds,4022,703,4022,3683689,27059,27059,27059,27059,25869,7986,703,703,174089,169605,3616864,1408,1.172588,31.713830,54.202237,6.145258,0.386008,0.091723
facebook,3,legacy_beam,rounds,3319,702,3319,1298877,19927,19927,19927,19927,14187,1233,326,326,173579,111025,2096783,790,1.026185,10.054585,25.525264,5.333707,0.049517,0.049792
facebook,4,legacy_beam,rounds,2993,623,2993,854864,17507,17507,17507,17507,8330,503,186,186,173623,96032,1704556,463,0.954902,4.355898,19.579284,4.274445,0.019418,0.029215
facebook,5,legacy_beam,rounds,2807,566,2807,622283,15906,15906,15906,15906,5418,500,145,145,174199,88131,1464207,350,0.927952,3.416204,15.855623,4.265535,0.016571,0.023796
facebook,6,legacy_beam,rounds,2662,457,2662,715991,17575,17575,17575,17575,4913,375,161,161,174088,84064,1501021,437,0.882326,9.704461,20.346851,3.647882,0.014748,0.026201
facebook,7,legacy_beam,rounds,2501,568,2501,829794,13630,13630,13630,13630,2740,114,86,86,173212,76912,1322104,259,0.863712,6.609044,16.018721,3.674164,0.006092,0.014698
facebook,8,legacy_beam,rounds,2415,506,2415,628141,13920,13920,13920,13920,2286,174,80,80,173426,74113,1261908,216,0.847051,3.533834,13.565103,3.340999,0.007255,0.013285
facebook,9,legacy_beam,rounds,2335,502,2335,659174,13284,13284,13284,13284,1717,101,61,61,173143,70957,1245440,182,0.831462,3.484775,13.932110,3.151462,0.004801,0.011121
facebook,10,legacy_beam,rounds,2274,520,2274,401524,12288,12288,12288,12288,1281,74,64,64,173108,68934,1079855,191,0.821913,2.186179,11.031133,3.456773,0.004068,0.011724
facebook,11,legacy_beam,rounds,2210,520,2210,523425,11486,11486,11486,11486,1120,90,59,59,173205,66672,1071361,181,0.816664,3.178100,10.939504,3.230564,0.004510,0.021549
facebook,12,legacy_beam,rounds,2151,523,2151,345101,10500,10500,10500,10500,736,53,43,43,172865,64394,959323,123,0.800053,2.155483,9.551168,3.406531,0.002617,0.006930
facebook,13,legacy_beam,rounds,2108,355,2108,407000,13907,13907,13907,13907,912,226,59,59,173840,63836,1038153,196,0.774104,7.236224,15.554260,3.128606,0.008793,0.010678
facebook,14,legacy_beam,rounds,2049,404,2049,456523,12504,12504,12504,12504,602,53,36,36,173409,61743,1005874,126,0.764818,4.737713,14.381233,2.905587,0.002776,0.006032
facebook,15,legacy_beam,rounds,2013,428,2013,380857,11554,11554,11554,11554,572,44,32,32,173422,60694,980887,103,0.763345,2.036962,9.828020,3.032543,0.002114,0.004941
facebook,16,legacy_beam,rounds,1981,465,1981,353567,10008,10008,10008,10008,371,16,15,15,173577,59326,895769,50,0.770558,2.359273,9.255908,3.140637,0.001031,0.002936
facebook,17,legacy_beam,rounds,1966,403,1966,576158,11087,11087,11087,11087,461,46,30,30,173259,58668,960315,103,0.750470,10.239760,17.169576,2.850463,0.002685,0.004689
facebook,18,legacy_beam,rounds,1936,416,1936,341411,10764,10764,10764,10764,336,42,27,27,172816,57276,893635,100,0.749068,3.667174,10.212632,2.851136,0.001974,0.004388
facebook,19,legacy_beam,rounds,1909,462,1909,475533,9403,9403,9403,9403,274,17,16,16,172317,56442,884144,43,0.757654,3.440179,9.502795,2.744490,0.001352,0.002504
facebook,20,legacy_beam,rounds,1893,428,1893,398180,9783,9783,9783,9783,286,27,21,21,173035,56338,882573,84,0.752725,2.524902,8.607799,2.746242,0.001933,0.003486
facebook,1,legacy_beam,rounds,4039,747,4039,2727353,26921,26921,26921,26921,26920,39,17,17,173840,173840,3640612,34,0.796659,20.580568,83.456276,9.262227,0.001322,0.002267
facebook,2,legacy_beam,rounds,4022,703,4022,3683689,27059,27059,27059,27059,25869,7986,703,703,174089,169605,3616864,1408,0.896887,25.975292,69.534720,5.482627,0.285725,0.071352
facebook,3,legacy_beam,rounds,3319,702,3319,1298877,19927,19927,19927,19927,14187,1233,326,326,173579,111025,2096783,790,0.773336,8.594329,35.117550,4.521225,0.038031,0.039083
facebook,4,legacy_beam,rounds,2993,623,2993,854864,17507,17507,17507,17507,8330,503,186,186,173623,96032,1704556,463,0.762225,5.022080,30.164059,4.928336,0.015613,0.021318
facebook,5,legacy_beam,rounds,2807,566,2807,622283,15906,15906,15906,15906,5418,500,145,145,174199,88131,1464207,350,0.699097,3.321450,21.878893,3.827796,0.013558,0.017392
facebook,6,legacy_beam,rounds,2662,457,2662,715991,17575,17575,17575,17575,4913,375,161,161,174088,84064,1501021,437,0.666766,8.538162,28.118119,3.503756,0.011609,0.022011
facebook,7,legacy_beam,rounds,2501,568,2501,829794,13630,13630,13630,13630,2740,114,86,86,173212,76912,1322104,259,0.660164,6.086338,19.073934,5.424617,0.005495,0.013584
facebook,8,legacy_beam,rounds,2415,506,2415,628141,13920,13920,13920,13920,2286,174,80,80,173426,74113,1261908,216,0.638614,3.354640,16.765016,3.056609,0.006263,0.012863
facebook,9,legacy_beam,rounds,2335,502,2335,659174,13284,13284,13284,13284,1717,101,61,61,173143,70957,1245440,182,0.634286,3.392885,15.896609,3.465461,0.003743,0.009408
facebook,10,legacy_beam,rounds,2274,520,2274,401524,12288,12288,12288,12288,1281,74,64,64,173108,68934,1079855,191,0.630389,2.353792,16.335334,2.750934,0.003147,0.009880
facebook,11,legacy_beam,rounds,2210,520,2210,523425,11486,11486,11486,11486,1120,90,59,59,173205,66672,1071361,181,0.655475,3.012523,15.034635,3.006517,0.003628,0.007764
facebook,12,legacy_beam,rounds,2151,523,2151,345101,10500,10500,10500,10500,736,53,43,43,172865,64394,959323,123,0.609129,2.204761,12.071600,3.445232,0.002294,0.005288
facebook,13,legacy_beam,rounds,2108,355,2108,407000,13907,13907,13907,13907,912,226,59,59,173840,63836,1038153,196,0.582338,6.574131,18.314989,2.851960,0.006764,0.007523
facebook,14,legacy_beam,rounds,2049,404,2049,456523,12504,12504,12504,12504,602,53,36,36,173409,61743,1005874,126,0.595563,3.799073,15.077818,2.282275,0.002253,0.004789
facebook,15,legacy_beam,rounds,2013,428,2013,380857,11554,11554,11554,11554,572,44,32,32,173422,60694,980887,103,0.607375,2.161473,13.413142,3.344593,0.001925,0.004148
facebook,16,legacy_beam,rounds,1981,465,1981,353567,10008,10008,10008,10008,371,16,15,15,173577,59326,895769,50,0.600543,2.406639,13.339652,2.555643,0.000901,0.002415
facebook,17,legacy_beam,rounds,1966,403,1966,576158,11087,11087,11087,11087,461,46,30,30,173259,58668,960315,103,0.576428,8.135800,17.033072,2.508968,0.002286,0.003900
facebook,18,legacy_beam,rounds,1936,416,1936,341411,10764,10764,10764,10764,336,42,27,27,172816,57276,893635,100,0.608898,3.084417,12.090637,2.511992,0.001573,0.004229
facebook,19,legacy_beam,rounds,1909,462,1909,475533,9403,9403,9403,9403,274,17,16,16,172317,56442,884144,43,0.585004,2.900044,10.896694,3.434269,0.001433,0.002606
facebook,20,legacy_beam,rounds,1893,428,1893,398180,9783,9783,9783,9783,286,27,21,21,173035,56338,882573,84,0.585134,2.612483,12.865807,2.425474,0.001341,0.003697
